x,y,id
11.509,48.199,310
11.51,48.199,311
11.511,48.199,312
11.512,48.199,313
11.513,48.199,314
11.514,48.199,315
11.515,48.199,316
11.516,48.199,317
11.517,48.199,318
11.518,48.199,319
11.519,48.199,320
11.52,48.199,321
11.521,48.199,322
11.522,48.199,323
11.523,48.199,324
11.524,48.199,325
11.525,48.199,326
11.526,48.199,327
11.527,48.199,328
11.528,48.199,329
11.529,48.199,330
11.53,48.199,331
11.531,48.199,332
11.532,48.199,333
11.533,48.199,334
11.534,48.199,335
11.535,48.199,336
11.536,48.199,337
11.537,48.199,338
11.538,48.199,339
11.539,48.199,340
11.54,48.199,341
11.541,48.199,342
11.542,48.199,343
11.543,48.199,344
11.544,48.199,345
11.545,48.199,346
11.546,48.199,347
11.547,48.199,348
11.548,48.199,349
11.549,48.199,350
11.55,48.199,351
11.551,48.199,352
11.552,48.199,353
11.553,48.199,354
11.554,48.199,355
11.555,48.199,356
11.556,48.199,357
11.557,48.199,358
11.558,48.199,359
11.559,48.199,360
11.56,48.199,361
11.561,48.199,362
11.562,48.199,363
11.563,48.199,364
11.564,48.199,365
11.565,48.199,366
11.566,48.199,367
11.567,48.199,368
11.568,48.199,369
11.569,48.199,370
11.57,48.199,371
11.571,48.199,372
11.572,48.199,373
11.573,48.199,374
11.574,48.199,375
11.575,48.199,376
11.576,48.199,377
11.577,48.199,378
11.578,48.199,379
11.579,48.199,380
11.58,48.199,381
11.581,48.199,382
11.582,48.199,383
11.583,48.199,384
11.584,48.199,385
11.585,48.199,386
11.586,48.199,387
11.587,48.199,388
11.588,48.199,389
11.589,48.199,390
11.59,48.199,391
11.591,48.199,392
11.592,48.199,393
11.593,48.199,394
11.594,48.199,395
11.595,48.199,396
11.596,48.199,397
11.597,48.199,398
11.598,48.199,399
11.599,48.199,400
11.6,48.199,401
11.601,48.199,402
11.602,48.199,403
11.603,48.199,404
11.604,48.199,405
11.605,48.199,406
11.606,48.199,407
11.607,48.199,408
11.608,48.199,409
11.609,48.199,410
11.61,48.199,411
11.611,48.199,412
11.612,48.199,413
